Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Brevin Jordan,22.0,2022,TE,HOU,11.0,3.0,,,,,,0.0,0.0,0.0,28.0,14.0,128.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,223.0,223.0,28,26.8,12.8
Brian Hoyer,37.0,2022,QB,NWE,1.0,1.0,6.0,5.0,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,1.48,1.48
Brian Robinson Jr.,23.0,2022,RB,WAS,12.0,9.0,,,,,,205.0,797.0,2.0,12.0,9.0,60.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,156.0,158.0,136.0,153.8,47,112.7,103.7
Brock Purdy,23.0,2022,QB,SFO,9.0,5.0,170.0,114.0,1374.0,13.0,4.0,22.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,106.26,106.26
Brock Wright,24.0,2022,TE,DET,17.0,10.0,,,,,,0.0,0.0,0.0,24.0,18.0,216.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,63.6,45.6
Bryan Anger,34.0,2022,K,DAL,17.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,0.0,0.0
Bryan Edwards,24.0,2022,WR,ATL,7.0,1.0,,,,,,0.0,0.0,0.0,5.0,3.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,4.5,1.5
Bryce Perkins,26.0,2022,QB,LAR,5.0,1.0,34.0,19.0,161.0,1.0,2.0,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,15.44,15.44
Brycen Hopkins,25.0,2022,TE,LAR,14.0,1.0,,,,,,0.0,0.0,0.0,11.0,7.0,109.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,17.9,10.9
Buffalo Bills DST,,2022,DEF,BUF,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106.0,997.0,27.0,313.0,3433.0,21.0,1673.0,10.0,89.0,754.0,29.0,31.0,14.3,40.0,17.0,10.0,10.0,2.0,3.0,17.0,,80.0,94.0,65.0,129.0,92.0,1,133.0,133.0
