Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
La'Mical Perine,25.0,2023,RB,KAN,3.0,1.0,,,,,,22.0,77.0,0.0,5.0,3.0,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Lamar Jackson,26.0,2023,QB,BAL,16.0,16.0,457.0,307.0,3678.0,24.0,7.0,148.0,821.0,5.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,32.0,35.0,38.0,34.0,4
Laquon Treadwell,28.0,2023,WR,BAL,5.0,1.0,,,,,,0.0,0.0,0.0,3.0,1.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,301.0,301.0,301.0,456.0,146
Latavius Murray,33.0,2023,RB,BUF,16.0,4.0,,,,,,79.0,300.0,4.0,22.0,17.0,119.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,256.0,213.0,234.5,72
Laviska Shenault Jr.,25.0,2023,WR,CAR,8.0,0.0,,,,,,12.0,55.0,0.0,10.0,10.0,60.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Lawrence Cager,26.0,2023,TE,NYG,11.0,0.0,,,,,,0.0,0.0,0.0,5.0,4.0,36.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Leonard Fournette,28.0,2023,RB,BUF,2.0,0.0,,,,,,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,242.0,186.0,214.0,218.3,68
Lil'Jordan Humphrey,25.0,2023,WR,DEN,17.0,8.0,,,,,,0.0,0.0,0.0,19.0,13.0,162.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.0,301.0,301.0,301.0,485.0,150
Logan Cooke,28.0,2023,K,JAX,17.0,0.0,1.0,1.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Logan Thomas,32.0,2023,TE,WAS,16.0,15.0,,,,,,1.0,2.0,0.0,78.0,55.0,496.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,301.0,301.0,279.0,301.0,279.0,40
Logan Woodside,28.0,2023,QB,ATL,1.0,0.0,4.0,3.0,27.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Lucas Havrisik,24.0,2023,K,LAR,9.0,0.0,,,,,,,,,,,,,,11.0,11.0,6.0,2.0,3.0,2.0,20.0,15.0,22.0,19.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Lucas Krull,25.0,2023,TE,DEN,7.0,2.0,,,,,,0.0,0.0,0.0,14.0,8.0,95.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Luke Farrell,26.0,2023,TE,JAX,17.0,8.0,,,,,,0.0,0.0,0.0,15.0,13.0,155.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Luke Musgrave,23.0,2023,TE,GNB,11.0,9.0,,,,,,0.0,0.0,0.0,46.0,34.0,352.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,202.0,213.0,183.0,200.8,21
Luke Schoonmaker,25.0,2023,TE,DAL,17.0,0.0,,,,,,0.0,0.0,0.0,15.0,8.0,65.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,301.0,301.0,301.0,244.0,30
Lynn Bowden Jr.,26.0,2023,WR,NOR,15.0,3.0,,,,,,5.0,32.0,0.0,16.0,11.0,83.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Mac Jones,25.0,2023,QB,NWE,11.0,11.0,345.0,224.0,2120.0,10.0,12.0,26.0,96.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,247.0,214.0,301.0,222.7,29
