Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Jaydon Mickens,26.0,2020,WR,TAM,10.0,0.0,,,,,,0.0,0.0,0.0,10.0,7.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,,,,496.0,149.0,12.8,5.8
Jaylen Samuels,24.0,2020,RB,PIT,14.0,1.0,,,,,,9.0,28.0,0.0,14.0,9.0,46.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,243.5,75.0,16.4,7.4
Jeff Badet,26.0,2020,WR,WAS,3.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jeff Driskel,27.0,2020,QB,DEN,3.0,1.0,64.0,35.0,432.0,3.0,2.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08,28.08
Jeff Smith,23.0,2020,WR,NYJ,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,17.0,167.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,16.7
Jeff Wilson,25.0,2020,RB,SFO,12.0,3.0,,,,,,126.0,600.0,7.0,28.0,13.0,133.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.3,129.3
Jeremy Chinn,22.0,2020,RLB,CAR,15.0,15.0,,,,,,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jeremy McNichols,25.0,2020,RB,TEN,16.0,0.0,,,,,,47.0,204.0,1.0,17.0,12.0,55.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,31.9
Jeremy Sprinkle,26.0,2020,TE,WAS,16.0,6.0,,,,,,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,,,,347.0,53.0,1.6,0.6
Jerick McKinnon,28.0,2020,RB,SFO,16.0,4.0,,,,,,81.0,319.0,5.0,46.0,33.0,253.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,196.0,220.3,67.0,126.2,93.2
Jerry Jeudy,21.0,2020,WR,DEN,16.0,14.0,,,,,,0.0,0.0,0.0,113.0,52.0,856.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,118.0,114.8,42.0,151.6,99.6
Jesse James,26.0,2020,TE,DET,16.0,7.0,,,,,,0.0,0.0,0.0,22.0,14.0,129.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,,,,342.0,52.0,38.9,24.9
Jimmy Garoppolo,29.0,2020,QB,SFO,6.0,6.0,140.0,94.0,1096.0,7.0,5.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,169.0,163.5,21.0,60.34,60.34
Jimmy Graham,34.0,2020,TE,CHI,16.0,15.0,,,,,,0.0,0.0,0.0,76.0,50.0,456.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,262.0,241.0,26.0,141.6,91.6
Joe Burrow,24.0,2020,QB,CIN,10.0,10.0,404.0,264.0,2688.0,13.0,5.0,37.0,142.0,3.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,166.0,149.5,18.0,163.72,163.72
